[-0.00038473],[-0.0016129],[0.352444]
[-0.00038492],[-0.00161942],[0.35127315]
[-0.00038511],[-0.00162594],[0.35010387]
[-0.0003853],[-0.00163247],[0.34893616]
[-0.00038549],[-0.001639],[0.34777001]
[-0.00038567],[-0.00164553],[0.34660543]
[-0.00038585],[-0.00165207],[0.34544241]
[-0.00038602],[-0.0016586],[0.34428095]
[-0.0003862],[-0.00166515],[0.34312105]
[-0.00038636],[-0.00167169],[0.34196271]
[-0.00038653],[-0.00167824],[0.34080592]
[-0.00038669],[-0.00168478],[0.33965069]
[-0.00038685],[-0.00169133],[0.33849701]
[-0.000387],[-0.00169789],[0.33734488]
[-0.00038715],[-0.00170444],[0.33619431]
[-0.0003873],[-0.001711],[0.33504528]
[-0.00038745],[-0.00171756],[0.3338978]
[-0.00038759],[-0.00172412],[0.33275186]
[-0.00038773],[-0.00173068],[0.33160747]
[-0.00038786],[-0.00173725],[0.33046462]
[-0.00038799],[-0.00174382],[0.32932331]
[-0.00038812],[-0.00175038],[0.32818354]
[-0.00038824],[-0.00175695],[0.3270453]
[-0.00038837],[-0.00176352],[0.32590861]
[-0.00038849],[-0.0017701],[0.32477345]
[-0.0003886],[-0.00177667],[0.32363982]
[-0.00038871],[-0.00178324],[0.32250772]
[-0.00038882],[-0.00178982],[0.32137715]
[-0.00038893],[-0.00179639],[0.32024811]
[-0.00038903],[-0.00180297],[0.3191206]
[-0.00038913],[-0.00180955],[0.31799461]
[-0.00038923],[-0.00181612],[0.31687015]
[-0.00038932],[-0.0018227],[0.31574721]
[-0.00038941],[-0.00182928],[0.31462579]
[-0.0003895],[-0.00183586],[0.31350589]
[-0.00038959],[-0.00184244],[0.3123875]
[-0.00038967],[-0.00184902],[0.31127064]
[-0.00038975],[-0.00185559],[0.31015528]
[-0.00038982],[-0.00186217],[0.30904144]
[-0.0003899],[-0.00186875],[0.30792911]
[-0.00038997],[-0.00187533],[0.3068183]
[-0.00039003],[-0.00188191],[0.30570899]
[-0.0003901],[-0.00188848],[0.30460118]
[-0.00039016],[-0.00189506],[0.30349489]
[-0.00039022],[-0.00190164],[0.30239009]
[-0.00039027],[-0.00190821],[0.3012868]
[-0.00039032],[-0.00191478],[0.30018501]
[-0.00039037],[-0.00192136],[0.29908472]
[-0.00039042],[-0.00192793],[0.29798593]
[-0.00039046],[-0.0019345],[0.29688863]
[-0.00039051],[-0.00194107],[0.29579283]
[-0.00039054],[-0.00194764],[0.29469852]
[-0.00039058],[-0.0019542],[0.2936057]
[-0.00039061],[-0.00196077],[0.29251438]
[-0.00039064],[-0.00196733],[0.29142454]
[-0.00039067],[-0.00197389],[0.29033619]
[-0.0003907],[-0.00198045],[0.28924932]
[-0.00039072],[-0.00198701],[0.28816394]
[-0.00039074],[-0.00199356],[0.28708005]
[-0.00039075],[-0.00200011],[0.28599763]
[-0.00039077],[-0.00200666],[0.28491669]
[-0.00039078],[-0.00201321],[0.28383723]
[-0.00039079],[-0.00201976],[0.28275925]
[-0.00039079],[-0.0020263],[0.28168275]
[-0.0003908],[-0.00203284],[0.28060771]
[-0.0003908],[-0.00203938],[0.27953415]
[-0.0003908],[-0.00204591],[0.27846206]
[-0.00039079],[-0.00205244],[0.27739144]
[-0.00039079],[-0.00205897],[0.27632229]
[-0.00039078],[-0.00206549],[0.27525461]
[-0.00039077],[-0.00207201],[0.27418838]
[-0.00039075],[-0.00207853],[0.27312363]
[-0.00039073],[-0.00208505],[0.27206033]
[-0.00039072],[-0.00209156],[0.27099849]
[-0.00039069],[-0.00209806],[0.26993812]
[-0.00039067],[-0.00210457],[0.2688792]
[-0.00039064],[-0.00211107],[0.26782173]
[-0.00039061],[-0.00211756],[0.26676572]
[-0.00039058],[-0.00212405],[0.26571117]
[-0.00039055],[-0.00213054],[0.26465806]
[-0.00039051],[-0.00213702],[0.26360641]
[-0.00039048],[-0.0021435],[0.2625562]
[-0.00039044],[-0.00214997],[0.26150744]
[-0.00039039],[-0.00215644],[0.26046013]
[-0.00039035],[-0.00216291],[0.25941426]
[-0.0003903],[-0.00216936],[0.25836983]
[-0.00039025],[-0.00217582],[0.25732684]
[-0.0003902],[-0.00218227],[0.2562853]
[-0.00039014],[-0.00218871],[0.25524519]
[-0.00039009],[-0.00219515],[0.25420651]
[-0.00039003],[-0.00220158],[0.25316928]
[-0.00038997],[-0.00220801],[0.25213347]
[-0.0003899],[-0.00221443],[0.2510991]
[-0.00038984],[-0.00222085],[0.25006616]
[-0.00038977],[-0.00222726],[0.24903465]
[-0.0003897],[-0.00223367],[0.24800457]
[-0.00038963],[-0.00224007],[0.24697591]
[-0.00038955],[-0.00224646],[0.24594868]
[-0.00038948],[-0.00225285],[0.24492288]
[-0.0003894],[-0.00225923],[0.24389849]
[-0.00038932],[-0.0022656],[0.24287553]
[-0.00038923],[-0.00227197],[0.24185398]
[-0.00038915],[-0.00227833],[0.24083385]
[-0.00038906],[-0.00228468],[0.23981514]
[-0.00038897],[-0.00229103],[0.23879784]
[-0.00038888],[-0.00229737],[0.23778196]
[-0.00038879],[-0.00230371],[0.23676749]
[-0.0003887],[-0.00231003],[0.23575443]
[-0.0003886],[-0.00231635],[0.23474277]
[-0.0003885],[-0.00232266],[0.23373253]
[-0.0003884],[-0.00232897],[0.23272369]
[-0.0003883],[-0.00233527],[0.23171625]
[-0.00038819],[-0.00234156],[0.23071022]
[-0.00038809],[-0.00234784],[0.22970559]
[-0.00038798],[-0.00235411],[0.22870237]
[-0.00038787],[-0.00236038],[0.22770054]
[-0.00038775],[-0.00236664],[0.2267001]
[-0.00038764],[-0.00237289],[0.22570107]
[-0.00038752],[-0.00237913],[0.22470342]
[-0.00038741],[-0.00238536],[0.22370718]
[-0.00038729],[-0.00239159],[0.22271232]
[-0.00038716],[-0.0023978],[0.22171885]
[-0.00038704],[-0.00240401],[0.22072677]
[-0.00038692],[-0.00241021],[0.21973608]
[-0.00038679],[-0.0024164],[0.21874678]
[-0.00038666],[-0.00242258],[0.21775886]
[-0.00038653],[-0.00242876],[0.21677232]
[-0.0003864],[-0.00243492],[0.21578717]
[-0.00038626],[-0.00244107],[0.21480339]
[-0.00038613],[-0.00244722],[0.21382099]
[-0.00038599],[-0.00245335],[0.21283998]
[-0.00038585],[-0.00245948],[0.21186033]
[-0.00038571],[-0.0024656],[0.21088206]
[-0.00038557],[-0.0024717],[0.20990517]
[-0.00038542],[-0.0024778],[0.20892965]
[-0.00038528],[-0.00248389],[0.20795549]
[-0.00038513],[-0.00248996],[0.20698271]
[-0.00038498],[-0.00249603],[0.20601129]
[-0.00038483],[-0.00250209],[0.20504124]
[-0.00038467],[-0.00250813],[0.20407256]
[-0.00038452],[-0.00251417],[0.20310523]
